id,ranking,termino,tfidf,texto
3,4,sostiene laboratorios,0.178061,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
3,5,solicitaron mayor,0.178061,"Universidades públicas solicitaron mayor presupuesto para investigación, educación y becas estudiantiles. Los rectores señalaron que el presupuesto universitario sostiene laboratorios, proyectos de investigación y programas de becas."
4,1,sociales,0.279215,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
4,2,hospitales,0.279215,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
4,3,programas,0.237358,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
4,4,presupuesto,0.184625,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
4,5,universidades hospitales,0.164909,"El presupuesto nacional contempla apoyos para universidades, hospitales y programas sociales. La propuesta de presupuesto aumenta recursos para hospitales públicos, becas sociales y programas de atención comunitaria."
5,1,carreteras,0.290839,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
5,2,seguridad,0.247239,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
5,3,robo,0.247239,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
5,4,estaciones reducir,0.171774,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
5,5,guardia nacional,0.171774,"La Guardia Nacional reforzó la seguridad en carreteras y zonas con reportes de robo de combustible. El operativo de seguridad vigila carreteras, ductos y estaciones para reducir el robo de gasolina."
6,1,discurso,0.298094,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
6,2,muro fronterizo,0.298094,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
6,3,muro,0.298094,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
6,4,fronterizo,0.298094,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
6,5,trump,0.253407,"Trump defendió la construcción del muro fronterizo durante un discurso ante sus simpatizantes. En el discurso, Trump insistió en que el muro fronterizo era necesario para controlar la migración."
7,1,seguridad fronteriza,0.269514,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
7,2,gobierno,0.269514,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
7,3,fronteriza,0.269514,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
7,4,seguridad,0.229112,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
7,5,migración,0.229112,"El gobierno mexicano respondió a las declaraciones de Trump sobre migración y seguridad fronteriza. La respuesta del gobierno señaló que la migración debe atenderse con cooperación, seguridad fronteriza y diálogo diplomático."
8,1,presupuesto,0.213214,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
8,2,apoyo universidades,0.190445,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
8,3,presupuesto becas,0.190445,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
8,4,presupuesto educación,0.190445,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
8,5,exigió presupuesto,0.190445,"Estudiantes universitarios protestaron por recortes al presupuesto de educación pública. La protesta estudiantil exigió más presupuesto, becas, investigación y apoyo para universidades públicas."
9,1,ductos,0.23151,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
9,2,gasolina,0.180076,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
9,3,centro,0.160845,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
9,4,autoridades investigan,0.160845,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
9,5,centro país,0.160845,"Autoridades investigan una red dedicada al robo de gasolina en ductos del centro del país. La investigación ubicó ductos clandestinos, venta ilegal de gasolina y vehículos usados para transportar combustible robado."
10,1,presupuesto,0.201975,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
10,2,investigación,0.201975,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
10,3,universitario proyectos,0.180406,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
10,4,discutir,0.180406,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
10,5,habló presupuesto,0.180406,"El presidente se reunió con rectores para discutir presupuesto, investigación y desarrollo tecnológico. En la reunión se habló de presupuesto universitario, proyectos de investigación, innovación tecnológica y becas para estudiantes."
